Electrolyte,Model,SSE,Status,alpha,k01,k02,lambda,C
PC,BV,0.34087679663403825,Success,0.523309339550073,0.011908646188834339,0.01259786626223455,,
PC,Marcus,0.3412977000222615,Success,,0.011949641846861668,0.012558913613228993,50.0,
PC,MHC,0.3428046922708133,Success,,0.08924123445973504,,50.0,0.032563060131441134
DEC,BV,0.6049478260942546,Success,0.05,0.016332308214039255,0.014564890905761864,,
DEC,Marcus,0.6518522997734858,Success,,0.01533630556007198,0.015514176087968649,50.0,
DEC,MHC,0.6359333562752878,Success,,0.23870475693148296,,5.690688161803305,0.01
EC/DEC,BV,1.2921219480348887,Success,0.05,0.05646279793757755,0.05228834369935684,,
EC/DEC,Marcus,1.3373296811058348,Success,,0.05326151590989386,0.05544649601778084,50.0,
EC/DEC,MHC,1.3148450882354261,Success,,0.8415109206159657,,5.672677331702244,0.01
10% FEC,BV,0.5054899275873252,Success,0.05,0.08689429010871681,0.07664756859215595,,
10% FEC,Marcus,0.5260842865445714,Success,,0.08180842883672713,0.08148025508621283,50.0,
10% FEC,MHC,0.5218494563204534,Success,,0.8184900064322994,,50.0,0.01911968013222101
DME (FSI),BV,1.5042033142593312,Success,0.95,0.2277250912461317,0.21202076874788314,,
DME (FSI),Marcus,1.526597168142475,Success,,0.24137528686649276,0.20037563339308792,50.0,
DME (FSI),MHC,1.6257396668211859,Success,,0.08164020908260539,,50.0,10.0
