Cell,Temperature_C,Temperature_K,k01,C,lambda,SSE,R2,RMSE
A,30,303.15,0.00021101849502273647,0.5042479475616313,8.3,0.43344462956481666,0.9508345809770494,0.15517814665101967
A,40,313.15,0.0001810644824060759,0.5567348035781339,8.3,0.3364408639328854,0.9669874048697125,0.1330692071487784
A,50,323.15,0.0002296247867819709,0.5910522331652582,8.3,0.6629749192529178,0.9220541488909924,0.18679779656833523
B,30,303.15,0.00021708428315047733,0.5729650886660755,8.3,0.42779570474106937,0.9606232920366315,0.15416364046418507
B,40,313.15,0.00020931262546959137,0.8002796029341455,8.3,0.3381506292174611,0.9630369630417975,0.13706256260422364
B,50,323.15,0.00025504840029322203,0.7936021159139927,8.3,0.4456528155071512,0.9527805712661372,0.1531515959514678
C,30,303.15,0.0002001098978410825,0.4661813628498433,8.3,0.4571489406504622,0.9552622269281077,0.15511437896130276
C,40,313.15,0.00022770576730419322,0.5585933353025364,8.3,0.7080185870262586,0.9202976623432553,0.19303920886513384
C,50,323.15,0.00027097253069230425,0.4736582582482941,8.3,0.5631280152653757,0.9448879615704576,0.17215782466363388
